"Guideline ID","Part","Grouping ID","Grouping 
(is this the same as set?)","Question ID","Question GUID","Question"
"CG73","","","","Q1","CG73Q1","What is the accuracy of equations to estimate GFR as a measurement of kidney function? 
"
"CG73","","","","Q2","CG73Q2","In adults with CKD, what is the biological and analytical variability in eGFR testing and what factors (including fasting) affect it? 
"
"CG73","","","","Q3","CG73Q3","What is the sensitivity and specificity of reagent strips for detecting protein and blood in urine?"
"CG73","","","","Q4","CG73Q4","What are the benefits in terms of accuracy and cost in measuring  albumin:creatinine ratio versus protein:creatinine ratio to quantify proteinuria in adults with CKD? 
"
"CG73","","","","Q5","CG73Q5","For people with suspected CKD, what is the effect of proteinuria at any given eGFR on adverse outcomes? 
"
"CG73","","","","Q6","CG73Q6","In adults, who should be tested for CKD? 
"
"CG73","","","","Q7","CG73Q7","For people with CKD, does the presence of diabetes have an effect on  adverse outcomes at any given category of eGFR and ACR?"
"CG73","","","","Q8","CG73Q8","In people with CKD, what constitutes a clinically significant decline in eGFR? 
"
"CG73","","","","Q9","CG73Q9","What factors are associated with progression of CKD: ( a) cardiovascular disease; ( b) acute kidney injury; ( c) obesity; ( d) smoking; ( e) urinary tract obstruction; ( f) ethnicity; ( g) chronic use of  NSAIDs? 
"
"CG73","","","","Q10","CG73Q10","When should calcium, phosphate and parathyroid  parameters be measured and at what frequency should they be  repeated? 
"
"CG73","","","","Q11","CG73Q11","What are the risks and benefits of bisphosphonates  for preventing osteoporosis in adults with CKD? 
"
"CG73","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
